train_id,cert_telecom_expiry,job_card_status,job_card_priority,branding_sla_active,current_km,target_km,last_cleaned_date,stabling_shunt_moves,target_hours,current_hours,brake_model,bogie_last_service_km
Rake-01,2026-10-20,CLOSED,NONE,FALSE,48500,50000,2025-09-12,0,,,ElectroBrake_v2,40000
Rake-02,2025-10-12,CLOSED,NONE,FALSE,58500,50000,2025-09-10,1,,,HydroMech_v1,40000
Rake-03,2026-01-15,OPEN,CRITICAL,FALSE,51000,50000,2025-09-12,2,,,ElectroBrake_v2,50000
Rake-04,2025-11-05,CLOSED,NONE,TRUE,49500,50000,2025-09-11,1,60,0,ElectroBrake_v2,45000
Rake-05,2025-09-14,OPEN,LOW,TRUE,59000,50000,2025-09-12,0,80,0,HydroMech_v1,42000
Rake-06,2026-03-18,CLOSED,NONE,FALSE,42000,50000,2025-09-05,2,,,ElectroBrake_v2,40000
Rake-07,2025-10-13,CLOSED,NONE,FALSE,50500,50000,2025-09-12,1,,,HydroMech_v1,35000
Rake-08,2026-05-22,CLOSED,NONE,FALSE,49800,50000,2025-09-13,0,,,ElectroBrake_v2,48000
Rake-09,2026-07-30,OPEN,MEDIUM,FALSE,62000,50000,2025-09-11,2,,,HydroMech_v1,40000
Rake-10,2025-12-12,OPEN,LOW,FALSE,52500,50000,2025-09-13,1,,,ElectroBrake_v2,50000
Rake-11,2026-02-28,CLOSED,NONE,TRUE,45000,50000,2025-09-12,1,100,0,ElectroBrake_v2,40000
Rake-12,2026-08-01,CLOSED,NONE,FALSE,50100,50000,2025-09-04,0,,,HydroMech_v1,30000
Rake-13,2026-04-10,CLOSED,NONE,FALSE,49900,50000,2025-09-13,2,,,ElectroBrake_v2,49000
Rake-14,2025-10-10,CLOSED,NONE,FALSE,55000,50000,2025-09-12,1,,,HydroMech_v1,50000
Rake-15,2026-06-19,OPEN,MEDIUM,FALSE,47000,50000,2025-09-10,0,,,ElectroBrake_v2,41000
Rake-16,2027-01-01,CLOSED,NONE,FALSE,40000,50000,2025-09-13,2,,,ElectroBrake_v2,38000
Rake-17,2026-09-05,CLOSED,NONE,TRUE,65000,50000,2025-09-11,1,40,0,HydroMech_v1,60000
Rake-18,2026-11-20,OPEN,CRITICAL,FALSE,51500,50000,2025-09-13,0,,,ElectroBrake_v2,50000
Rake-19,2026-10-10,CLOSED,NONE,FALSE,49000,50000,2025-09-06,1,,,HydroMech_v1,32000
Rake-20,2025-10-13,CLOSED,NONE,FALSE,53000,50000,2025-09-12,2,,,ElectroBrake_v2,45000
Rake-21,2026-12-01,CLOSED,NONE,FALSE,48000,50000,2025-09-13,1,,,ElectroBrake_v2,40000
Rake-22,2026-04-15,OPEN,LOW,FALSE,51000,50000,2025-09-12,0,,,HydroMech_v1,42000
Rake-23,2026-07-20,CLOSED,NONE,TRUE,46000,50000,2025-09-11,2,120,0,ElectroBrake_v2,41000
Rake-24,2026-08-25,CLOSED,NONE,FALSE,54000,50000,2025-09-10,1,,,HydroMech_v1,48000
Rake-25,2026-01-30,CLOSED,NONE,FALSE,49000,50000,2025-09-13,0,,,ElectroBrake_v2,45000

